aa_wyklad;Krzysztof Oprzędkiwicz;1;
aa_lab;Janusz Teneta;6;Jakub Klocek;3;Mariusz Gibiec;2;
mo_wyklad;Wojciech Grega;1;
mo_lab;Andrzej Latocha;9;
mo_aud;Cezary Piskor-Ignatowicz;5;
ts1_wyklad;Wojciech Mitkowski;1;
ts1_aud;Marcin Szelest;4;Dariusz Cieślar;1;
tm_wyklad;Krzysztof Kołek;1;
tm_lab;Paweł Piątek;2;Jakub Szut;1;Mariusz Pauluk;3;Mateusz Dutka;3;
kipr_wyklad;Maciej Garbacz;1;
kipr_lab;Maciej Garbacz;4;Wojciech Kreft;4;
bo2_wyklad;Wojciech Chmiel;1;
bo2_lab;Wojciech Chmiel;3;Piotr Kadłuczka;1;
ipt_wyklad;Piotr Bania;1;
ipt_lab;Piotr Bania;4;
swd_wyklad;Andrzej Skulimowski;1;
swd_lab;Andrzej Skulimowski;1;
kic_wyklad;Marek Ogiela;1;
kic_lab;Katarzyna Koptyra;4;
aibd_wyklad;Jerzy Baranowski;1;
aibd_lab;Kacper Jarzyna;1;Adrian Dudek;2;Adam Filapek;2;